trial,lum1,lum2,c1,c2,im
65,0.67,0.33,0.0,1.0,imgs/white_0.67_0.33_0.0_1.0.png
66,0.25,0.67,1.0,0.0,imgs/white_0.25_0.67_1.0_0.0.png
67,0.33,0.58,0.0,1.0,imgs/white_0.33_0.58_0.0_1.0.png
68,0.25,0.75,1.0,0.0,imgs/white_0.25_0.75_1.0_0.0.png
69,0.42,0.75,1.0,0.0,imgs/white_0.42_0.75_1.0_0.0.png
70,0.5,0.5,0.0,1.0,imgs/white_0.5_0.5_0.0_1.0.png
71,0.42,0.42,0.0,1.0,imgs/white_0.42_0.42_0.0_1.0.png
72,0.42,0.58,1.0,0.0,imgs/white_0.42_0.58_1.0_0.0.png
73,0.33,0.75,1.0,0.0,imgs/white_0.33_0.75_1.0_0.0.png
74,0.58,0.25,0.0,1.0,imgs/white_0.58_0.25_0.0_1.0.png
75,0.33,0.33,0.0,1.0,imgs/white_0.33_0.33_0.0_1.0.png
76,0.42,0.25,0.0,1.0,imgs/white_0.42_0.25_0.0_1.0.png
77,0.33,0.42,1.0,0.0,imgs/white_0.33_0.42_1.0_0.0.png
78,0.67,0.67,1.0,0.0,imgs/white_0.67_0.67_1.0_0.0.png
79,0.75,0.5,0.0,1.0,imgs/white_0.75_0.5_0.0_1.0.png
80,0.5,0.75,0.0,1.0,imgs/white_0.5_0.75_0.0_1.0.png
81,0.42,0.58,1.0,0.0,imgs/white_0.42_0.58_1.0_0.0.png
82,0.5,0.33,0.0,1.0,imgs/white_0.5_0.33_0.0_1.0.png
83,0.67,0.58,0.0,1.0,imgs/white_0.67_0.58_0.0_1.0.png
84,0.58,0.67,1.0,0.0,imgs/white_0.58_0.67_1.0_0.0.png
85,0.58,0.58,0.0,1.0,imgs/white_0.58_0.58_0.0_1.0.png
86,0.75,0.33,0.0,1.0,imgs/white_0.75_0.33_0.0_1.0.png
87,0.75,0.42,1.0,0.0,imgs/white_0.75_0.42_1.0_0.0.png
88,0.33,0.25,0.0,1.0,imgs/white_0.33_0.25_0.0_1.0.png
89,0.58,0.42,1.0,0.0,imgs/white_0.58_0.42_1.0_0.0.png
90,0.33,0.58,1.0,0.0,imgs/white_0.33_0.58_1.0_0.0.png
91,0.75,0.58,1.0,0.0,imgs/white_0.75_0.58_1.0_0.0.png
92,0.42,0.67,0.0,1.0,imgs/white_0.42_0.67_0.0_1.0.png
93,0.42,0.25,1.0,0.0,imgs/white_0.42_0.25_1.0_0.0.png
94,0.58,0.33,0.0,1.0,imgs/white_0.58_0.33_0.0_1.0.png
95,0.5,0.75,0.0,1.0,imgs/white_0.5_0.75_0.0_1.0.png
96,0.25,0.5,0.0,1.0,imgs/white_0.25_0.5_0.0_1.0.png
97,0.25,0.75,0.0,1.0,imgs/white_0.25_0.75_0.0_1.0.png
